0.096250, 0.003105, 0.096250
0.848750, 0.229582, 0.848750
0.472500, 0.704770, 0.472500
0.262500, 0.370363, 0.262500
0.411250, 0.338166, 0.411250
0.700000, 0.559085, 0.700000
0.183750, 0.435456, 0.183750
0.358750, 0.273436, 0.358750
0.131250, 0.242156, 0.131250
0.743750, 0.445158, 0.743750
0.490000, 0.613702, 0.490000
0.481250, 0.485516, 0.481250
0.306250, 0.391562, 0.306250
0.376250, 0.342125, 0.376250
0.857500, 0.622892, 0.857500
0.481250, 0.664671, 0.481250
0.551250, 0.517125, 0.551250
0.367500, 0.457078, 0.367500
0.621250, 0.497548, 0.621250
0.192500, 0.401514, 0.192500
0.481250, 0.340485, 0.481250
0.481250, 0.481250, 0.481250
0.420000, 0.449859, 0.420000
0.070000, 0.240624, 0.070000
0.936250, 0.513956, 0.936250
0.297500, 0.608888, 0.297500
0.533750, 0.418579, 0.533750
0.271250, 0.399218, 0.271250
0.595000, 0.437173, 0.595000
0.481250, 0.536703, 0.481250
0.953750, 0.723408, 0.953750
0.621250, 0.783343, 0.621250
0.315000, 0.464296, 0.315000
0.717500, 0.521283, 0.717500
0.533750, 0.623328, 0.533750
0.533750, 0.533750, 0.533750
0.656250, 0.596532, 0.656250
-0.262500, 0.185388, -0.262500
0.367500, 0.060377, 0.367500
0.603750, 0.488579, 0.603750
0.446250, 0.523031, 0.446250
0.481250, 0.464188, 0.481250
0.420000, 0.449859, 0.420000
0.848750, 0.639736, 0.848750
0.586250, 0.714218, 0.586250
0.218750, 0.397905, 0.218750
0.157500, 0.187359, 0.157500
0.533750, 0.350329, 0.533750
0.673750, 0.605500, 0.673750
0.463750, 0.566124, 0.463750
0.673750, 0.571376, 0.673750
0.560000, 0.615453, 0.560000
0.507500, 0.533094, 0.507500
0.507500, 0.507500, 0.507500
0.052500, 0.274311, 0.052500
0.358750, 0.209454, 0.358750
0.551250, 0.457407, 0.551250
0.437500, 0.492953, 0.437500
0.245000, 0.338843, 0.245000
0.708750, 0.482673, 0.708750
0.227500, 0.462108, 0.227500
0.087500, 0.155750, 0.087500
0.682500, 0.392439, 0.682500
0.087500, 0.377561, 0.087500
0.008750, 0.047140, 0.008750
0.568750, 0.295752, 0.568750
-0.148750, 0.201029, -0.148750
0.131250, -0.005249, 0.131250
0.288750, 0.211969, 0.288750
0.918750, 0.611627, 0.918750
-0.096250, 0.398559, -0.096250
0.140000, 0.024829, 0.140000
0.175000, 0.157938, 0.175000
0.726250, 0.457517, 0.726250
0.385000, 0.551358, 0.385000
